KOPR;NOKOPR;UD01PR;UD02PR;KOSU;KOBO;DATOSUBIC;STFI1;STDV1;STOCNV1;STDV1C;STOCNV1C;RECENOFAC1;DESPNOFAC1;STFI2;STDV2;STOCNV2;STDV2C;STOCNV2C;RECENOFAC2;DESPNOFAC2;RLUD;FMPR;PFPR;HFPR;RUPR;MRPR
SEMI00STOPWTR;SEMI ELABORADO STOP WATER KG.;KG;KG;004;004;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;004;;;;
SSB0022300;BARNIZ POLIULACK BRILLANTE 1/4;04;04;004;011;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;001;;;;
QHEPOX613001;EPOXIPRIMER C/A OCRE GL.;GL;GL;004;015;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;001;;;;
QHEPOX613001;EPOXIPRIMER C/A OCRE GL.;GL;GL;005;005;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;001;;;;
QHESM922RAL01;ESMALTE SINTETICO RAL 10123 GL;GL;GL;005;005;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;001;;;;
QHOLEBR.BL055;OLEO BRILLANTE 904 BLANCO  BD.;GL;BD;005;005;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;001;;;;
QHOLEBR.BL055;OLEO BRILLANTE 904 BLANCO  BD.;GL;BD;001;001;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;001;;;;
R105;RESICRYL AF 2013;KG;KG;004;004;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;004;;;;
R203;PLIOTILE AC-80 KG.;KG;KG;004;004;;25,00;0,00;0,00;0,00;0,00;0,00;0,00;25,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;004;;;;
RENNERANTSRRO;ANTICORROSIVO SECADO RAPIDO ROJO OXIDO GL;GL;GL;004;006;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;011;02;;;
RESIN42311004;.;KG;KG;004;012;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;;;;;
RESIN42311004;.;KG;KG;004;004;;0,00;0,00;0,00;0,00;0,00;140,00;0,00;0,00;0,00;0,00;0,00;0,00;140,00;0,00;1,00;;;;;
S207;ISOPROPYL ALCOHOL;KG;KG;004;004;;103,02;0,00;0,00;0,00;0,00;0,00;0,00;103,02;0,00;0,00;0,00;0,00;0,00;0,00;1,00;004;;;;
SFO0LG2068;ACAB. POLIURET. MATE (FO 206800);BD;GL;001;001;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;001;;;;
ZM-428M3;ZYNAMIX AMARILLO 3,5;GR;GR;001;001;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;001;;;;
ZZINSTALACION;INSTALACIONES;UN;UN;004;006;;509,00;0,00;0,00;0,00;0,00;0,00;0,00;509,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;008;;;;
ZZINSTALACION;INSTALACIONES;UN;UN;001;001;;2.852,50;0,00;0,00;0,00;0,00;0,00;0,00;2.852,50;0,00;0,00;0,00;0,00;0,00;0,00;1,00;008;;;;
PCA926SW70196;OLEO BRILLANTE SW-7019 4 GALONES;GL;BD;004;017;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;003;0002;0001;;
PCA926SW70196;OLEO BRILLANTE SW-7019 4 GALONES;GL;BD;004;015;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;003;0002;0001;;
PCA9293003006;LATEX EXTRA PLUS 929 3003 4 GALONES.;GL;BD;004;006;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;003;0001;0001;;
PCA929AZINS06;LATEX SUPER 929 AZUL INSTITUCIONAL 4 GALONES;GL;BD;004;006;;4,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;003;0001;0001;;
PCA929AZINS06;LATEX SUPER 929 AZUL INSTITUCIONAL 4 GALONES;GL;BD;004;015;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;003;0001;0001;;
PCA929AZINS06;LATEX SUPER 929 AZUL INSTITUCIONAL 4 GALONES;GL;BD;004;017;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;003;0001;0001;;
PCA929AZINS06;LATEX SUPER 929 AZUL INSTITUCIONAL 4 GALONES;GL;BD;006;007;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;003;0001;0001;;
PCA929BCOINV1;LATEX SUPER 929 BLANCO INVIERNO GL;GL;GL;006;007;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;003;0001;0001;;
