ID,Código,Producto,Unidad,Lista,Desc10,Desc10+5,Desc10+5+3,Mínimo,Canal Digital,Es Personalizado,Costo Producción,Porcentaje Utilidad,Modo Precio,Fecha Creación,Fecha Actualización
68,"PCA960ECOPBI2","ESMALTE AL AGUA COPPER BLANCO INVIERNO","1/4 de galón",4890.00,4410.00,4190.00,4020.00,4020.00,6357.00,No,,,,07-07-2025, 11:45:31 p. m.,07-07-2025, 11:45:31 p. m.
69,"PCA960ECOPBN2","ESMALTE AL AGUA COPPER BLANCO NACAR","1/4 de galón",4890.00,4410.00,4190.00,4020.00,4020.00,6357.00,No,,,,07-07-2025, 11:45:32 p. m.,07-07-2025, 11:45:32 p. m.
70,"PCA960ECOPCC2","ESMALTE AL AGUA COPPER CALIDA CALMA","1/4 de galón",4890.00,4410.00,4190.00,4020.00,4020.00,6357.00,No,,,,07-07-2025, 11:45:32 p. m.,07-07-2025, 11:45:32 p. m.
71,"PCA960ECOPDA2","ESMALTE AL AGUA COPPER DAMASCO","1/4 de galón",4890.00,4410.00,4190.00,4020.00,4020.00,6357.00,No,,,,07-07-2025, 11:45:32 p. m.,07-07-2025, 11:45:32 p. m.
72,"PCA960ECOPLS2","ESMALTE AL AGUA COPPER LINO SUAVE","1/4 de galón",4890.00,4410.00,4190.00,4020.00,4020.00,6357.00,No,,,,07-07-2025, 11:45:32 p. m.,07-07-2025, 11:45:32 p. m.
73,"PCA960ECOPNE2","ESMALTE AL AGUA COPPER NEGRO","1/4 de galón",4890.00,4410.00,4190.00,4020.00,4020.00,6357.00,No,,,,07-07-2025, 11:45:32 p. m.,07-07-2025, 11:45:32 p. m.
74,"PCA960ECOPPI2","ESMALTE AL AGUA COPPER PISTACHO","1/4 de galón",4890.00,4410.00,4190.00,4020.00,4020.00,6357.00,No,,,,07-07-2025, 11:45:32 p. m.,07-07-2025, 11:45:32 p. m.
75,"PCA960ECOPRC2","ESMALTE AL AGUA COPPER ROJO COLONIAL","1/4 de galón",4890.00,4410.00,4190.00,4020.00,4020.00,6357.00,No,,,,07-07-2025, 11:45:32 p. m.,07-07-2025, 11:45:32 p. m.
76,"PCA960ECOPRJ2","ESMALTE AL AGUA COPPER ROJO JAPON","1/4 de galón",4890.00,4410.00,4190.00,4020.00,4020.00,6357.00,No,,,,07-07-2025, 11:45:32 p. m.,07-07-2025, 11:45:32 p. m.
77,"PCA960ECOPRT2","ESMALTE AL AGUA COPPER ROSADO TULIPAN","1/4 de galón",4890.00,4410.00,4190.00,4020.00,4020.00,6357.00,No,,,,07-07-2025, 11:45:32 p. m.,07-07-2025, 11:45:32 p. m.
78,"PCA108BLAN002","DOBLE ACCIÓN ESMALTE ANTICORROSIVO BLANCO","1/4 de galón",6990.00,6290.00,5980.00,5800.00,5800.00,9087.00,No,,,,07-07-2025, 11:45:32 p. m.,07-07-2025, 11:45:32 p. m.
79,"PCA108GRIS002","DOBLE ACCIÓN ESMALTE ANTICORROSIVO GRIS","1/4 de galón",6990.00,6290.00,5980.00,5800.00,5800.00,9087.00,No,,,,07-07-2025, 11:45:32 p. m.,07-07-2025, 11:45:32 p. m.
80,"PCA108NEGRO02","DOBLE ACCIÓN ESMALTE ANTICORROSIVO NEGRO","1/4 de galón",6990.00,6290.00,5980.00,5800.00,5800.00,9087.00,No,,,,07-07-2025, 11:45:32 p. m.,07-07-2025, 11:45:32 p. m.
