KOPR;KOSU;KOBO;NOKOPR;UD01PR;UD02PR;PM;PMIFRS;TIMOUL;PPUL01;PPUL02;TAUL;VALI;PMIN;FMPR;PFPR;HFPR;MRPR;RUPR;ULT_COMPRA;ULT_VENTA;STFI;VALSTOCK;PRMEDIO;UNIDAD;
"RCM0020109";"004";"006";"I - MARRON";"04";"04";        7689.29287;        7689.29287;"N";        7797.93800;        7797.93800;           1.00000;           0.00000;           0.00000;"005";"";"";"";"";"/  /";"/  /";          22.00000;      169164.44314;        7689.29287;"04";
"RCM0020110";"001";"002";"L - TIERRA SOMBRA";"04";"04";        7277.31714;        7277.31714;"N";        7258.71400;        7258.71400;           1.00000;           0.00000;           0.00000;"005";"";"";"";"";"/  /";"/  /";           3.00000;       21831.95142;        7277.31714;"04";
"RCM0020110";"004";"006";"L - TIERRA SOMBRA";"04";"04";        7277.31714;        7277.31714;"N";        7258.71400;        7258.71400;           1.00000;           0.00000;           0.00000;"005";"";"";"";"";"/  /";"/  /";          21.00000;      152823.65994;        7277.31714;"04";
"S202";"004";"004";"BUTILGLICOL KG.";"KG";"KG";        1798.13261;        1798.13258;"N";        1808.91100;        1808.91100;           1.00000;           0.00000;           0.00000;"004";"";"";"";"";"/  /";"/  /";         566.79900;     1019179.76522;        1798.13261;"KG";
"ZZPALLET01";"004";"004";"PALLET GALON";"UN";"UN";          33.33000;          33.33000;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"004";"";"";"";"";"/  /";"/  /";      746168.00000;    24869779.44000;          33.33000;"UN";
"PCA920AGUINC2";"004";"006";"SELLADOR MADERA AL AGUA BASE INCOLORO 1/4";"GL";"04";        5438.33898;        5438.33898;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"003";"0005";"0003";"";"";"/  /";"/  /";          93.00000;      126441.38129;        1359.58475;"04";
"PCA921CASA001";"004";"006";"FIBROCOPPER CASA MAQUINA GL";"GL";"GL";        4530.51796;        4531.16449;"N";        6890.00000;        6890.00000;           1.00000;           0.00000;           0.00000;"003";"0005";"0001";"";"01";"/  /";"/  /";          40.00000;      181220.71840;        4530.51796;"GL";
"PCA921CASA001";"006";"007";"FIBROCOPPER CASA MAQUINA GL";"GL";"GL";        4530.51796;        4531.16449;"N";        6890.00000;        6890.00000;           1.00000;           0.00000;           0.00000;"003";"0005";"0001";"";"01";"/  /";"/  /";           9.00000;       40774.66164;        4530.51796;"GL";
"PCA921CASA001";"007";"014";"FIBROCOPPER CASA MAQUINA GL";"GL";"GL";        4530.51796;        4531.16449;"N";        6890.00000;        6890.00000;           1.00000;           0.00000;           0.00000;"003";"0005";"0001";"";"01";"/  /";"/  /";           4.00000;       18122.07184;        4530.51796;"GL";
"PCA921CAST001";"004";"006";"FIBROCOPPER CASTAÑO GL";"GL";"GL";        4972.11935;        4972.08094;"N";       11427.00000;       11427.00000;           1.00000;           0.00000;           0.00000;"003";"0005";"0001";"";"01";"/  /";"/  /";          60.00000;      298327.16100;        4972.11935;"GL";
"PCA921CAST001";"006";"007";"FIBROCOPPER CASTAÑO GL";"GL";"GL";        4972.11935;        4972.08094;"N";       11427.00000;       11427.00000;           1.00000;           0.00000;           0.00000;"003";"0005";"0001";"";"01";"/  /";"/  /";           8.00000;       39776.95480;        4972.11935;"GL";
"PCA921CAST001";"007";"014";"FIBROCOPPER CASTAÑO GL";"GL";"GL";        4972.11935;        4972.08094;"N";       11427.00000;       11427.00000;           1.00000;           0.00000;           0.00000;"003";"0005";"0001";"";"01";"/  /";"/  /";           4.00000;       19888.47740;        4972.11935;"GL";
"ZZASISTENCIA";"001";"001";"ASISTENCIA SOFTWARE";"UN";"UN";       90063.57119;       88635.72271;"N";       84805.00000;       84805.00000;           1.00000;           0.00000;           0.00000;"008";"";"";"";"";"/  /";"/  /";          12.90000;     1161820.06835;       90063.57119;"UN";
"ZZASISTENCIA";"004";"004";"ASISTENCIA SOFTWARE";"UN";"UN";       90063.57119;       88635.72271;"N";       84805.00000;       84805.00000;           1.00000;           0.00000;           0.00000;"008";"";"";"";"";"/  /";"/  /";         160.20000;    14428184.10464;       90063.57119;"UN";
"PCA916LOSA006";"004";"006";"PASTA LOSA PLUS 4 GALONES.";"GL";"BD";        3336.78455;        3336.78455;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"003";"0003";"0002";"";"";"/  /";"/  /";          39.00000;      520538.38980;       13347.13820;"BD";
"PCA916LOSA006";"004";"015";"PASTA LOSA PLUS 4 GALONES.";"GL";"BD";        3336.78455;        3336.78455;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"003";"0003";"0002";"";"";"/  /";"/  /";          45.00000;      600621.21900;       13347.13820;"BD";
"PCA916LOSA006";"007";"014";"PASTA LOSA PLUS 4 GALONES.";"GL";"BD";        3336.78455;        3336.78455;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"003";"0003";"0002";"";"";"/  /";"/  /";          39.00000;      520538.38980;       13347.13820;"BD";
"PCA921NEGRO01";"004";"006";"FIBROCOPPER NEGRO GL";"GL";"GL";        4430.29002;        4430.29002;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"003";"0001";"0003";"";"";"/  /";"/  /";          21.00000;       93036.09042;        4430.29002;"GL";
"PCA921NEGRO01";"006";"007";"FIBROCOPPER NEGRO GL";"GL";"GL";        4430.29002;        4430.29002;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"003";"0001";"0003";"";"";"/  /";"/  /";          12.00000;       53163.48024;        4430.29002;"GL";
"PCA921NEGRO01";"007";"014";"FIBROCOPPER NEGRO GL";"GL";"GL";        4430.29002;        4430.29002;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"003";"0001";"0003";"";"";"/  /";"/  /";           4.00000;       17721.16008;        4430.29002;"GL";
"PCA926BERME01";"004";"006";"OLEO BRILLANTE BERMELLON GL";"GL";"GL";       11645.25094;       11645.24749;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"003";"0002";"0001";"";"01";"/  /";"/  /";           6.00000;       69871.50564;       11645.25094;"GL";
"PCA926BERME01";"006";"007";"OLEO BRILLANTE BERMELLON GL";"GL";"GL";       11645.25094;       11645.24749;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"003";"0002";"0001";"";"01";"/  /";"/  /";           3.00000;       34935.75282;       11645.25094;"GL";
